0.0,3.67,-0.019431,-0.044027
0.0,7.17,-0.019227,-0.038993
0.0,10.85,-0.019055,-0.038904
0.0,14.53,-0.01867,-0.038473
0.0,18.03,-0.018738,-0.038454
0.0,21.7,-0.0183,-0.038106
0.0,25.03,-0.017881,-0.037659
0.0,28.7,-0.017493,-0.037274
0.0,32.2,-0.01757,-0.037376
0.0,35.88,-0.017145,-0.03704
0.0,39.37,-0.016812,-0.036581
0.0,43.05,-0.016313,-0.036313
0.0,46.55,-0.016843,-0.036658
0.0,50.22,-0.017105,-0.037194
0.0,53.72,-0.017425,-0.037296
0.0,57.22,-0.017952,-0.037669
0.0,60.72,-0.0183,-0.037927
0.0,64.22,-0.018297,-0.037943
0.0,67.9,-0.018417,-0.038365
0.0,71.4,-0.018346,-0.038248
0.0,74.9,-0.01826,-0.037995
0.0,78.57,-0.017958,-0.037672
0.0,82.07,-0.017213,-0.036871
0.0,85.57,-0.016824,-0.036458
0.0,89.25,-0.016467,-0.036218
0.0,92.75,-0.016372,-0.036332
0.0,96.42,-0.016418,-0.036264
0.0,99.57,-0.016775,-0.036658
0.0,103.6,-0.017576,-0.037484
0.0,107.1,-0.018023,-0.037804
0.0,110.6,-0.018279,-0.038041
0.0,114.27,-0.01875,-0.038479
0.0,117.77,-0.018768,-0.038368
0.0,121.27,-0.018719,-0.03851
0.0,124.95,-0.018608,-0.038599
0.0,128.45,-0.018741,-0.038479
0.0,132.12,-0.018658,-0.038525
0.0,135.62,-0.018725,-0.038217
0.0,139.12,-0.018639,-0.038405
0.0,142.8,-0.01875,-0.038531
0.0,146.3,-0.018738,-0.038503
0.0,149.8,-0.018698,-0.038417
0.0,153.48,-0.019049,-0.038778
0.0,156.98,-0.019218,-0.038741
0.0,160.3,-0.019449,-0.039264
0.0,163.98,-0.019837,-0.039591
0.0,167.48,-0.020102,-0.040093
0.0,171.15,-0.020247,-0.040022
0.0,174.65,-0.020259,-0.040068
0.0,178.15,-0.019705,-0.039711
0.0,181.83,-0.019366,-0.039375
0.0,185.33,-0.018956,-0.039027
0.0,189.0,-0.019215,-0.038882
0.0,192.5,-0.01911,-0.038731
0.0,196.18,-0.018627,-0.038356
0.0,199.68,-0.018251,-0.038134
0.0,203.18,-0.017573,-0.037354
0.0,206.68,-0.017025,-0.036775
0.0,210.35,-0.016409,-0.036187
0.0,213.85,-0.016433,-0.036178
0.0,217.35,-0.016372,-0.036104
0.0,220.85,-0.016449,-0.03599
0.0,224.53,-0.015996,-0.03598
0.0,228.03,-0.015731,-0.035672
0.0,231.7,-0.015179,-0.035102
0.0,235.38,-0.014918,-0.03489
0.0,238.88,-0.014394,-0.034415
0.0,242.38,-0.014415,-0.034326
0.0,246.05,-0.014381,-0.034274
0.0,259.0,-0.015487,-0.039076
0.0,262.5,-0.015719,-0.035469
0.0,266.0,-0.015364,-0.034942
0.0,269.85,-0.014576,-0.034505
0.0,273.53,-0.013423,-0.033337
0.0,277.03,-0.012012,-0.032357
0.0,280.53,-0.010438,-0.03041
0.0,284.03,-0.008698,-0.028679
0.0,287.7,-0.007028,-0.027163
0.0,291.2,-0.004958,-0.025115
0.0,294.88,-0.002647,-0.022699
0.0,298.38,-0.000176,-0.020238
0.0,301.88,0.002288,-0.017897
0.0,305.38,0.004171,-0.016242
0.0,308.88,0.004895,-0.015324
0.0,312.38,0.004922,-0.015284
0.0,316.05,0.004275,-0.015953
0.0,319.55,0.004137,-0.016171
0.0,323.23,0.004513,-0.015906
0.0,326.9,0.005252,-0.014979
0.0,330.4,0.00613,-0.014141
0.0,334.08,0.007507,-0.012798
0.0,337.58,0.008847,-0.011467
0.0,341.25,0.009861,-0.010564
0.0,344.75,0.010708,-0.009551
0.0,348.43,0.011324,-0.009113
0.0,352.1,0.011687,-0.008562
0.0,355.6,0.012399,-0.008004
0.0,359.28,0.012698,-0.007561
0.0,362.78,0.013474,-0.006714
0.0,366.28,0.013736,-0.006677
0.0,369.78,0.013638,-0.006621
0.0,373.45,0.01357,-0.006741
0.0,376.95,0.013644,-0.006945
0.0,380.63,0.01348,-0.006661
0.0,384.13,0.01398,-0.006113
0.0,387.63,0.014053,-0.006458
0.0,391.13,0.013631,-0.006834
0.0,394.63,0.013197,-0.00728
0.0,398.48,0.012174,-0.00847
0.0,401.98,0.01129,-0.009295
0.0,405.48,0.010104,-0.010179
0.0,409.15,0.008665,-0.011621
0.0,412.65,0.007202,-0.01293
0.0,416.15,0.005671,-0.0144
0.0,419.83,0.004756,-0.01541
0.0,423.5,0.003428,-0.016418
0.0,427.18,0.001962,-0.018309
0.0,430.68,0.000662,-0.019292
0.0,434.18,-0.000509,-0.020534
0.0,437.68,-0.001381,-0.02143
0.0,441.18,-0.002166,-0.022173
0.0,444.68,-0.003069,-0.02302
0.0,448.35,-0.004012,-0.024043
0.0,451.85,-0.005343,-0.025377
0.0,455.35,-0.007052,-0.027176
0.0,459.03,-0.009141,-0.028842
0.0,462.53,-0.012003,-0.03172
0.0,465.85,-0.015124,-0.035022
0.0,469.53,-0.01891,-0.038654
0.0,473.03,-0.022515,-0.042012
0.0,476.53,-0.026507,-0.045891
0.0,480.03,-0.030669,-0.050176
0.0,483.7,-0.034462,-0.053882
0.0,487.2,-0.038562,-0.057742
0.0,490.88,-0.042009,-0.061076
0.0,494.38,-0.044905,-0.064086
0.0,497.88,-0.046938,-0.066177
0.0,501.38,-0.049212,-0.068235
0.0,505.05,-0.050802,-0.069754
0.0,508.55,-0.051991,-0.071036
0.0,512.05,-0.052687,-0.0718
0.0,515.55,-0.053466,-0.072518
0.0,519.23,-0.054292,-0.073143
