Timestamp,Flow (SLPM),Total (NCM)
2026-01-12 14:21:44,0.00,0.000
2026-01-12 14:21:45,0.00,0.000
2026-01-12 14:21:46,0.00,0.000
2026-01-12 14:21:47,0.00,0.000
2026-01-12 14:21:48,0.00,0.000
2026-01-12 14:21:49,0.00,0.000
2026-01-12 14:21:50,0.00,0.000
2026-01-12 14:21:51,0.00,0.000
2026-01-12 14:21:52,0.00,0.000
2026-01-12 14:21:53,0.00,0.000
2026-01-12 14:21:54,0.00,0.000
2026-01-12 14:21:55,0.00,0.000
2026-01-12 14:21:56,0.00,0.000
2026-01-12 14:21:57,0.00,0.000
2026-01-12 14:21:58,0.00,0.000
2026-01-12 14:21:59,0.00,0.000
2026-01-12 14:22:00,0.00,0.000
2026-01-12 14:22:01,0.00,0.000
2026-01-12 14:22:17,0.00,0.000
2026-01-12 14:22:18,0.00,0.000
2026-01-12 14:22:19,0.00,0.000
2026-01-12 14:22:20,0.00,0.000
2026-01-12 14:22:21,0.00,0.000
2026-01-12 14:22:22,0.00,0.000
2026-01-12 14:38:03,0.00,0.000
2026-01-12 14:38:04,0.00,0.000
2026-01-12 14:38:05,0.00,0.000
2026-01-12 14:38:06,0.00,0.000
2026-01-12 14:38:07,0.00,0.000
2026-01-12 14:38:08,0.00,0.000
2026-01-12 14:38:09,0.00,0.000
2026-01-12 14:38:10,0.00,0.000
2026-01-12 14:38:11,0.00,0.000
2026-01-12 14:40:32,0.00,0.000
2026-01-12 14:40:33,0.00,0.000
2026-01-12 14:40:34,0.00,0.000
2026-01-12 14:40:35,0.00,0.000
2026-01-12 14:40:36,0.00,0.000
2026-01-12 15:02:54,0.00,0.000
2026-01-12 15:02:55,0.00,0.000
2026-01-12 15:02:56,0.00,0.000
2026-01-12 15:02:57,0.00,0.000
2026-01-12 15:02:58,0.00,0.000
2026-01-12 15:02:59,0.00,0.000
2026-01-12 15:03:00,0.00,0.000
2026-01-12 15:03:01,0.00,0.000
2026-01-12 15:03:02,0.00,0.000
2026-01-12 15:03:03,0.00,0.000
2026-01-12 15:03:04,0.00,0.000
2026-01-12 15:03:05,0.00,0.000
2026-01-12 15:03:06,0.00,0.000
2026-01-12 15:15:15,0.00,0.000
2026-01-12 15:15:16,0.00,0.000
2026-01-12 15:15:17,0.00,0.000
2026-01-12 15:15:18,0.00,0.000
2026-01-12 15:15:19,0.00,0.000
2026-01-12 15:28:29,0.00,0.000
2026-01-12 15:28:30,0.00,0.000
2026-01-12 15:28:31,0.00,0.000
2026-01-12 15:28:32,0.00,0.000
2026-01-12 15:28:33,0.00,0.000
2026-01-12 16:32:19,0.00,0.000
2026-01-12 16:32:20,0.00,0.000
2026-01-12 16:32:21,0.00,0.000
2026-01-12 16:32:22,0.00,0.000
2026-01-12 16:32:23,0.00,0.000
2026-01-12 16:34:02,0.00,0.000
2026-01-12 16:34:03,0.00,0.000
2026-01-12 16:34:04,0.00,0.000
2026-01-12 16:34:05,0.00,0.000
2026-01-12 16:34:06,0.00,0.000
2026-01-12 16:34:07,0.00,0.000
2026-01-12 16:34:08,0.00,0.000
2026-01-12 16:34:09,0.00,0.000
2026-01-12 16:34:10,0.00,0.000
2026-01-12 16:34:11,0.00,0.000
2026-01-12 16:34:12,0.00,0.000
2026-01-12 16:34:13,0.00,0.000
2026-01-12 17:00:15,0.00,0.000
2026-01-12 17:00:16,0.00,0.000
2026-01-12 17:00:17,0.00,0.000
2026-01-12 17:00:18,0.00,0.000
2026-01-12 17:00:19,0.00,0.000
2026-01-12 17:00:20,0.00,0.000
2026-01-12 17:00:21,0.00,0.000
2026-01-12 17:00:22,0.00,0.000
2026-01-12 17:00:23,0.00,0.000
2026-01-12 17:00:24,0.00,0.000
2026-01-12 17:00:25,0.00,0.000
2026-01-12 17:00:26,0.00,0.000
2026-01-12 17:00:27,0.00,0.000
2026-01-12 17:00:28,0.00,0.000
2026-01-12 17:00:29,0.00,0.000
2026-01-12 17:00:30,0.00,0.000
2026-01-12 17:00:31,0.00,0.000
2026-01-12 17:00:32,0.00,0.000
2026-01-12 17:00:33,0.00,0.000
2026-01-12 17:00:34,0.00,0.000
2026-01-12 17:00:35,0.00,0.000
2026-01-12 17:00:36,0.00,0.000
2026-01-12 17:00:37,0.00,0.000
2026-01-12 17:00:38,0.00,0.000
2026-01-12 17:00:39,0.00,0.000
2026-01-12 17:00:40,0.00,0.000
2026-01-12 17:00:41,0.00,0.000
2026-01-12 17:00:42,0.00,0.000
2026-01-12 17:00:43,0.00,0.000
2026-01-12 17:00:44,0.00,0.000
2026-01-12 17:00:45,0.00,0.000
2026-01-12 17:00:46,0.00,0.000
2026-01-12 17:00:47,0.00,0.000
2026-01-12 17:00:48,0.00,0.000
2026-01-12 17:00:49,0.00,0.000
2026-01-12 17:00:50,0.00,0.000
2026-01-12 17:00:51,0.00,0.000
2026-01-12 17:00:52,0.00,0.000
2026-01-12 17:00:53,0.00,0.000
2026-01-12 17:19:13,0.00,0.000
2026-01-12 17:19:14,0.00,0.000
2026-01-12 17:19:15,0.00,0.000
2026-01-12 17:19:16,0.00,0.000
2026-01-12 17:19:17,0.00,0.000
2026-01-12 17:19:18,0.00,0.000
2026-01-12 17:19:19,0.00,0.000
2026-01-12 17:19:20,0.00,0.000
2026-01-12 17:19:21,0.00,0.000
2026-01-12 17:19:22,0.00,0.000
2026-01-12 17:19:23,0.00,0.000
2026-01-12 17:19:24,0.00,0.000
2026-01-12 17:19:25,0.00,0.000
2026-01-12 17:19:26,0.00,0.000
2026-01-12 17:19:27,0.00,0.000
2026-01-12 17:19:28,0.00,0.000
2026-01-12 17:19:29,0.00,0.000
2026-01-12 17:19:30,0.00,0.000
2026-01-12 17:19:31,0.00,0.000
2026-01-12 17:19:32,0.00,0.000
2026-01-12 17:19:33,0.00,0.000
2026-01-12 17:19:34,0.00,0.000
2026-01-12 17:19:35,0.00,0.000
2026-01-12 17:19:36,0.00,0.000
2026-01-12 17:19:37,0.00,0.000
2026-01-12 17:19:38,0.00,0.000
2026-01-12 17:19:39,0.00,0.000
2026-01-12 17:19:40,0.00,0.000
2026-01-12 17:19:41,0.00,0.000
2026-01-12 17:19:42,0.00,0.000
2026-01-12 17:19:43,0.00,0.000
2026-01-12 17:19:44,0.00,0.000
2026-01-12 17:19:45,0.00,0.000
2026-01-12 17:26:15,0.00,0.000
2026-01-12 17:26:16,0.00,0.000
2026-01-12 17:26:17,0.00,0.000
2026-01-12 17:26:18,0.00,0.000
2026-01-12 17:26:19,0.00,0.000
2026-01-12 17:26:20,0.00,0.000
2026-01-12 17:26:21,0.00,0.000
2026-01-12 17:26:22,0.00,0.000
2026-01-12 17:26:23,0.00,0.000
2026-01-12 17:26:24,0.00,0.000
2026-01-12 17:26:25,0.00,0.000
2026-01-12 17:26:26,0.00,0.000
2026-01-12 17:26:27,0.00,0.000
2026-01-12 17:26:28,0.00,0.000
2026-01-12 17:26:29,0.00,0.000
2026-01-12 17:26:30,0.00,0.000
2026-01-12 17:26:31,0.00,0.000
