Timestamp,Flow (SLPM),Total (NCM)
2026-01-05 10:35:54,0.00,0.000
2026-01-05 10:35:55,0.00,0.000
2026-01-05 10:35:56,0.00,0.000
2026-01-05 10:35:57,0.00,0.000
2026-01-05 10:36:07,0.00,0.000
2026-01-05 10:36:08,0.00,0.000
2026-01-05 10:36:09,0.00,0.000
2026-01-05 10:36:10,0.00,0.000
2026-01-05 10:36:11,0.00,0.000
2026-01-05 10:54:21,0.00,0.000
2026-01-05 10:54:22,0.00,0.000
2026-01-05 10:54:23,0.00,0.000
2026-01-05 11:06:50,0.00,0.000
2026-01-05 11:06:51,0.00,0.000
2026-01-05 11:12:12,0.00,0.000
2026-01-05 11:12:13,0.00,0.000
2026-01-05 11:12:14,0.00,0.000
2026-01-05 11:12:15,0.00,0.000
2026-01-05 11:12:16,0.00,0.000
2026-01-05 11:12:17,0.00,0.000
2026-01-05 11:12:18,0.00,0.000
2026-01-05 11:16:40,4.64,0.005
2026-01-05 11:16:41,5.19,0.010
2026-01-05 11:16:42,5.35,0.015
2026-01-05 11:16:43,5.13,0.020
2026-01-05 11:16:49,0.00,0.000
2026-01-05 11:16:50,0.00,0.000
2026-01-05 11:16:51,0.00,0.000
2026-01-05 11:16:52,0.00,0.000
2026-01-05 11:16:53,0.00,0.000
2026-01-05 11:16:54,0.00,0.000
2026-01-05 11:16:55,0.00,0.000
2026-01-05 11:16:56,0.00,0.000
2026-01-05 11:16:57,0.00,0.000
2026-01-05 11:16:58,0.00,0.000
2026-01-05 11:16:59,0.00,0.000
2026-01-05 11:17:00,0.00,0.000
2026-01-05 11:17:01,0.00,0.000
2026-01-05 11:17:02,0.00,0.000
2026-01-05 11:17:03,0.00,0.000
2026-01-05 11:25:47,0.00,0.000
2026-01-05 11:25:48,0.00,0.000
2026-01-05 11:25:49,0.00,0.000
2026-01-05 12:49:35,0.00,0.000
2026-01-05 12:49:36,0.00,0.000
2026-01-05 12:49:37,0.00,0.000
2026-01-05 12:49:38,0.00,0.000
2026-01-05 12:49:39,0.00,0.000
2026-01-05 12:49:40,0.00,0.000
2026-01-05 12:49:41,0.00,0.000
2026-01-05 12:49:42,0.00,0.000
2026-01-05 12:49:43,0.00,0.000
2026-01-05 12:49:44,0.00,0.000
2026-01-05 12:49:45,0.00,0.000
2026-01-05 12:49:46,0.00,0.000
2026-01-05 12:49:47,0.00,0.000
2026-01-05 12:49:48,0.00,0.000
2026-01-05 12:51:46,0.00,0.000
2026-01-05 12:51:47,0.00,0.000
2026-01-05 12:51:48,0.00,0.000
2026-01-05 12:51:49,0.00,0.000
2026-01-05 12:59:38,0.00,0.000
2026-01-05 12:59:39,0.00,0.000
2026-01-05 12:59:40,0.00,0.000
2026-01-05 12:59:41,0.00,0.000
2026-01-05 12:59:42,0.00,0.000
2026-01-05 12:59:43,0.00,0.000
2026-01-05 12:59:44,0.00,0.000
2026-01-05 12:59:45,0.00,0.000
2026-01-05 12:59:46,0.00,0.000
2026-01-05 12:59:47,0.00,0.000
2026-01-05 12:59:48,0.00,0.000
2026-01-05 12:59:49,0.00,0.000
2026-01-05 12:59:50,0.00,0.000
2026-01-05 12:59:51,0.00,0.000
2026-01-05 12:59:52,0.00,0.000
2026-01-05 12:59:53,0.00,0.000
2026-01-05 12:59:54,0.00,0.000
2026-01-05 12:59:55,0.00,0.000
2026-01-05 12:59:56,0.00,0.000
2026-01-05 12:59:57,0.00,0.000
2026-01-05 12:59:58,0.00,0.000
2026-01-05 12:59:59,0.00,0.000
2026-01-05 13:06:15,0.00,0.000
2026-01-05 13:06:16,0.00,0.000
2026-01-05 13:06:17,0.00,0.000
2026-01-05 13:06:18,0.00,0.000
2026-01-05 13:06:19,0.00,0.000
2026-01-05 13:06:20,0.00,0.000
2026-01-05 13:06:21,0.00,0.000
2026-01-05 13:06:22,0.00,0.000
2026-01-05 13:06:23,0.00,0.000
2026-01-05 13:06:24,0.00,0.000
2026-01-05 13:06:25,0.00,0.000
2026-01-05 13:06:26,0.00,0.000
2026-01-05 13:06:27,0.00,0.000
2026-01-05 13:06:28,0.00,0.000
2026-01-05 13:06:29,0.00,0.000
2026-01-05 13:06:30,0.00,0.000
2026-01-05 13:06:31,0.00,0.000
2026-01-05 13:06:32,0.00,0.000
2026-01-05 13:06:33,0.00,0.000
2026-01-05 13:06:34,0.00,0.000
2026-01-05 13:06:35,0.00,0.000
2026-01-05 13:06:36,0.00,0.000
2026-01-05 13:06:37,0.00,0.000
2026-01-05 13:06:38,0.00,0.000
2026-01-05 13:06:39,0.00,0.000
2026-01-05 13:06:40,0.00,0.000
2026-01-05 13:06:41,0.00,0.000
2026-01-05 13:06:42,0.00,0.000
2026-01-05 13:06:43,0.00,0.000
2026-01-05 13:08:38,0.00,0.000
2026-01-05 13:08:39,0.00,0.000
2026-01-05 13:08:40,0.00,0.000
2026-01-05 13:08:41,0.00,0.000
2026-01-05 13:08:42,0.00,0.000
2026-01-05 13:08:43,0.00,0.000
2026-01-05 13:08:44,0.00,0.000
2026-01-05 13:08:45,0.00,0.000
2026-01-05 13:34:58,0.00,0.000
2026-01-05 13:34:59,0.00,0.000
2026-01-05 13:35:00,0.00,0.000
2026-01-05 13:35:01,0.00,0.000
2026-01-05 13:35:02,0.00,0.000
2026-01-05 13:35:03,0.00,0.000
2026-01-05 13:35:04,0.00,0.000
2026-01-05 13:35:05,0.00,0.000
2026-01-05 13:35:06,0.00,0.000
2026-01-05 13:35:07,0.00,0.000
2026-01-05 13:35:08,0.00,0.000
2026-01-05 13:35:09,0.00,0.000
2026-01-05 13:35:11,0.00,0.000
2026-01-05 13:35:12,0.00,0.000
2026-01-05 13:35:13,0.00,0.000
2026-01-05 13:35:14,0.00,0.000
2026-01-05 13:35:15,0.00,0.000
2026-01-05 13:35:16,0.00,0.000
2026-01-05 13:35:17,0.00,0.000
2026-01-05 13:35:18,0.00,0.000
2026-01-05 13:35:19,0.00,0.000
2026-01-05 13:35:20,0.00,0.000
2026-01-05 13:41:34,0.00,0.000
2026-01-05 13:41:35,0.00,0.000
2026-01-05 13:41:36,0.00,0.000
2026-01-05 13:41:37,0.00,0.000
2026-01-05 13:41:38,0.00,0.000
2026-01-05 13:41:39,0.00,0.000
2026-01-05 13:41:40,0.00,0.000
2026-01-05 13:41:41,0.00,0.000
2026-01-05 13:41:42,0.00,0.000
2026-01-05 13:41:43,0.00,0.000
2026-01-05 13:41:44,0.00,0.000
2026-01-05 13:41:45,0.00,0.000
2026-01-05 13:41:46,0.00,0.000
2026-01-05 13:41:47,0.00,0.000
2026-01-05 13:41:48,0.00,0.000
2026-01-05 13:41:49,0.00,0.000
2026-01-05 13:41:50,0.00,0.000
2026-01-05 13:41:51,0.00,0.000
2026-01-05 13:41:52,0.00,0.000
2026-01-05 13:41:53,0.00,0.000
2026-01-05 13:41:54,0.00,0.000
2026-01-05 13:41:55,0.00,0.000
2026-01-05 13:41:56,0.00,0.000
2026-01-05 13:41:57,0.00,0.000
2026-01-05 13:44:23,0.00,0.000
2026-01-05 13:44:24,0.00,0.000
2026-01-05 13:44:25,0.00,0.000
2026-01-05 13:44:26,0.00,0.000
2026-01-05 13:44:27,0.00,0.000
2026-01-05 13:44:28,0.00,0.000
2026-01-05 13:44:29,0.00,0.000
2026-01-05 13:44:30,0.00,0.000
2026-01-05 14:09:19,0.00,0.000
2026-01-05 14:09:20,0.00,0.000
2026-01-05 14:09:21,0.00,0.000
2026-01-05 14:09:58,0.00,0.000
2026-01-05 14:09:59,0.00,0.000
2026-01-05 14:10:00,0.00,0.000
2026-01-05 14:10:01,0.00,0.000
2026-01-05 14:10:02,0.00,0.000
2026-01-05 14:10:03,0.00,0.000
2026-01-05 14:10:04,0.00,0.000
2026-01-05 14:10:05,0.00,0.000
2026-01-05 14:10:06,0.00,0.000
2026-01-05 14:10:07,0.00,0.000
2026-01-05 14:28:38,0.00,0.000
2026-01-05 14:28:39,0.00,0.000
2026-01-05 14:28:40,0.00,0.000
2026-01-05 14:28:41,0.00,0.000
2026-01-05 14:55:42,0.00,0.000
2026-01-05 14:55:43,0.00,0.000
2026-01-05 15:10:40,0.00,0.000
2026-01-05 15:10:41,0.00,0.000
2026-01-05 15:10:42,0.00,0.000
2026-01-05 15:10:43,0.00,0.000
2026-01-05 15:10:44,0.00,0.000
2026-01-05 15:10:45,0.00,0.000
2026-01-05 15:10:46,0.00,0.000
2026-01-05 15:10:47,0.00,0.000
2026-01-05 15:10:48,0.00,0.000
2026-01-05 15:10:49,0.00,0.000
2026-01-05 15:10:50,0.00,0.000
2026-01-05 15:10:51,0.00,0.000
